City,Account length,Area code,Phone number,International plan,Voicemail plan,No. vmail msgs,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total int charge,Customer service calls,Churn
Kobe,336,510,138-939-6031,No,No,48,364.66,19,61.99,277.8,50,27.78,396.0,78,19.8,10.85,17,1.63,2,False
Tokyo,732,408,404-840-6480,Yes,No,49,232.2,41,39.47,6.91,31,0.69,276.87,142,13.84,2.15,5,0.32,5,False
Kobe,585,415,940-287-2188,Yes,No,36,159.78,3,27.16,341.19,199,34.12,393.52,3,19.68,12.95,7,1.94,3,False
Kawasaki,349,408,176-945-2412,No,Yes,9,139.22,3,23.67,396.81,77,39.68,184.04,105,9.2,10.22,14,1.53,0,True
Saitama,52,510,545-870-1819,Yes,Yes,25,235.6,25,40.05,285.16,97,28.52,288.53,101,14.43,15.87,6,2.38,5,True
Kobe,419,510,678-232-3301,Yes,No,48,86.3,90,14.67,4.86,69,0.49,39.91,67,2.0,6.04,14,0.91,6,False
Sapporo,698,408,586-769-8162,Yes,No,43,174.81,183,29.72,296.33,10,29.63,373.12,188,18.66,7.37,15,1.11,2,False
Saitama,758,510,679-588-7402,No,Yes,32,55.0,91,9.35,313.6,189,31.36,250.24,69,12.51,17.86,2,2.68,1,False
Sapporo,175,510,124-639-9158,No,Yes,16,82.43,199,14.01,361.47,68,36.15,312.03,124,15.6,9.23,9,1.38,6,False
Fukuoka,600,510,446-320-8103,Yes,Yes,29,268.31,181,45.61,189.04,177,18.9,29.19,80,1.46,3.33,17,0.5,3,False
Saitama,429,408,284-405-9684,Yes,No,11,102.33,193,17.4,240.56,76,24.06,235.76,159,11.79,13.25,18,1.99,9,False
Sapporo,129,415,689-317-9318,Yes,Yes,33,321.13,191,54.59,60.66,57,6.07,323.41,10,16.17,9.29,4,1.39,5,False
Kyoto,308,415,895-365-6489,No,No,45,29.45,14,5.01,20.97,153,2.1,143.56,133,7.18,15.19,17,2.28,4,False
